C:\Users\charl\scoop\apps\corretto17-jdk\current\bin\java.exe -javaagent:C:\Users\charl\scoop\apps\idea\2024.3.1-243.22562.145\IDE\lib\idea_rt.jar=63487:C:\Users\charl\scoop\apps\idea\2024.3.1-243.22562.145\IDE\bin -Dfile.encoding=UTF-8 -classpath D:\git_wa\advent-of-code\target\scala-3.6.2\classes;C:\Users\charl\AppData\Local\Coursier\cache\v1\https\repo1.maven.org\maven2\org\scala-lang\scala3-library_3\3.6.2\scala3-library_3-3.6.2.jar;C:\Users\charl\AppData\Local\Coursier\cache\v1\https\repo1.maven.org\maven2\org\scalactic\scalactic_3\3.2.19\scalactic_3-3.2.19.jar;C:\Users\charl\AppData\Local\Coursier\cache\v1\https\repo1.maven.org\maven2\org\scala-lang\scala-library\2.13.15\scala-library-2.13.15.jar aoc.aoc2024.day2.main
List(58, 59, 60, 59, 60) | 3 | Ascending | Safe(0): false | Safe(1): false
List(36, 36, 40, 41, 45) | 3 | Ascending | Safe(0): false | Safe(1): false
List(82, 82, 86, 88, 89, 90, 95) | 5 | Ascending | Safe(0): false | Safe(1): false
List(23, 23, 25, 26, 32, 35) | 4 | Ascending | Safe(0): false | Safe(1): false
List(77, 77, 78, 79, 85, 82) | 3 | Descending | Safe(0): false | Safe(1): false
List(70, 70, 72, 79, 80, 80) | 3 | Descending | Safe(0): false | Safe(1): false
List(32, 32, 34, 35, 40, 44) | 4 | Ascending | Safe(0): false | Safe(1): false
List(66, 66, 67, 69, 72, 75, 82, 88) | 6 | Ascending | Safe(0): false | Safe(1): false
List(80, 84, 85, 88, 86) | 3 | Ascending | Safe(0): false | Safe(1): false
List(90, 94, 97, 99, 99) | 3 | Ascending | Safe(0): false | Safe(1): false
List(71, 75, 76, 78, 82) | 4 | Ascending | Safe(0): false | Safe(1): false
List(14, 18, 20, 23, 25, 28, 35) | 6 | Ascending | Safe(0): false | Safe(1): false
List(42, 46, 49, 46, 48, 49, 51) | 5 | Ascending | Safe(0): false | Safe(1): false
List(72, 76, 77, 74, 77, 80, 81, 78) | 5 | Ascending | Safe(0): false | Safe(1): false
List(34, 38, 36, 39, 39) | 2 | Descending | Safe(0): false | Safe(1): false
List(71, 75, 74, 76, 78, 82) | 4 | Ascending | Safe(0): false | Safe(1): false
List(34, 38, 39, 41, 40, 43, 46, 51) | 6 | Ascending | Safe(0): false | Safe(1): false
List(48, 52, 52, 53, 56, 57, 60, 62) | 6 | Ascending | Safe(0): false | Safe(1): false
List(66, 70, 71, 74, 74, 72) | 3 | Descending | Safe(0): false | Safe(1): false
List(53, 57, 57, 59, 60, 63, 63) | 4 | Ascending | Safe(0): false | Safe(1): false
List(52, 56, 58, 58, 62) | 3 | Ascending | Safe(0): false | Safe(1): false
List(5, 9, 12, 12, 15, 16, 19, 25) | 6 | Ascending | Safe(0): false | Safe(1): false
List(32, 36, 39, 43, 45) | 4 | Ascending | Safe(0): false | Safe(1): false
List(18, 22, 25, 26, 28, 32, 33, 32) | 6 | Ascending | Safe(0): false | Safe(1): false
List(21, 25, 26, 30, 30) | 3 | Ascending | Safe(0): false | Safe(1): false
List(47, 51, 54, 58, 60, 64) | 5 | Ascending | Safe(0): false | Safe(1): false
List(70, 74, 75, 76, 79, 83, 90) | 6 | Ascending | Safe(0): false | Safe(1): false
List(36, 40, 46, 49, 52, 55) | 5 | Ascending | Safe(0): false | Safe(1): false
List(59, 63, 66, 68, 74, 76, 74) | 5 | Ascending | Safe(0): false | Safe(1): false
List(53, 57, 58, 59, 61, 62, 69, 69) | 6 | Ascending | Safe(0): false | Safe(1): false
List(33, 37, 39, 45, 49) | 4 | Ascending | Safe(0): false | Safe(1): false
List(35, 39, 46, 49, 51, 52, 55, 61) | 7 | Ascending | Safe(0): false | Safe(1): false
List(69, 74, 77, 80, 83, 81) | 4 | Ascending | Safe(0): false | Safe(1): false
List(11, 16, 19, 22, 25, 27, 27) | 5 | Ascending | Safe(0): false | Safe(1): false
List(58, 63, 66, 68, 70, 74) | 5 | Ascending | Safe(0): false | Safe(1): false
List(37, 43, 46, 47, 50, 52, 53, 58) | 7 | Ascending | Safe(0): false | Safe(1): false
List(84, 89, 88, 91, 92, 95, 97, 99) | 6 | Ascending | Safe(0): false | Safe(1): false
List(62, 69, 71, 74, 71, 74, 71) | 4 | Ascending | Safe(0): false | Safe(1): false
List(4, 10, 8, 9, 11, 14, 14) | 4 | Ascending | Safe(0): false | Safe(1): false
List(60, 66, 65, 67, 71) | 3 | Ascending | Safe(0): false | Safe(1): false
List(39, 46, 45, 46, 47, 52) | 4 | Ascending | Safe(0): false | Safe(1): false
List(6, 12, 13, 13, 14, 17) | 4 | Ascending | Safe(0): false | Safe(1): false
List(36, 42, 42, 45, 44) | 2 | Descending | Safe(0): false | Safe(1): false
List(6, 11, 13, 13, 16, 19, 20, 20) | 5 | Ascending | Safe(0): false | Safe(1): false
List(34, 41, 41, 44, 45, 49) | 4 | Ascending | Safe(0): false | Safe(1): false
List(78, 85, 88, 88, 94) | 3 | Ascending | Safe(0): false | Safe(1): false
List(72, 78, 81, 85, 86, 89, 91, 94) | 7 | Ascending | Safe(0): false | Safe(1): false
List(51, 57, 59, 62, 66, 67, 64) | 5 | Ascending | Safe(0): false | Safe(1): false
List(51, 57, 59, 61, 65, 67, 67) | 5 | Ascending | Safe(0): false | Safe(1): false
List(19, 25, 29, 30, 32, 36) | 5 | Ascending | Safe(0): false | Safe(1): false
List(44, 50, 51, 55, 57, 64) | 5 | Ascending | Safe(0): false | Safe(1): false
List(45, 50, 52, 59, 61) | 4 | Ascending | Safe(0): false | Safe(1): false
List(12, 17, 20, 23, 26, 29, 34, 31) | 6 | Ascending | Safe(0): false | Safe(1): false
List(35, 41, 44, 46, 51, 51) | 4 | Ascending | Safe(0): false | Safe(1): false
List(28, 34, 35, 38, 40, 42, 48, 52) | 7 | Ascending | Safe(0): false | Safe(1): false
List(31, 38, 44, 45, 46, 48, 51, 58) | 7 | Ascending | Safe(0): false | Safe(1): false
List(15, 12, 10, 7, 5, 6, 7) | 2 | Descending | Safe(0): false | Safe(1): false
List(26, 25, 23, 21, 23, 20, 20) | 1 | Descending | Safe(0): false | Safe(1): false
List(31, 30, 29, 28, 29, 28, 24) | 1 | Descending | Safe(0): false | Safe(1): false
List(35, 33, 31, 34, 31, 28, 25, 19) | 1 | Descending | Safe(0): false | Safe(1): false
List(99, 97, 95, 92, 91, 91, 88, 90) | 1 | Descending | Safe(0): false | Safe(1): false
List(99, 96, 96, 94, 94) | 0 | Descending | Safe(0): false | Safe(1): false
List(45, 42, 42, 39, 36, 35, 31) | 0 | Descending | Safe(0): false | Safe(1): false
List(50, 48, 48, 45, 43, 41, 39, 33) | 0 | Descending | Safe(0): false | Safe(1): false
List(88, 85, 81, 78, 77, 76, 74) | 0 | Descending | Safe(0): false | Safe(1): false
List(28, 27, 25, 21, 19, 18, 17, 19) | 1 | Descending | Safe(0): false | Safe(1): false
List(30, 28, 27, 25, 23, 19, 19) | 0 | Descending | Safe(0): false | Safe(1): false
List(43, 40, 38, 34, 31, 28, 24) | 0 | Descending | Safe(0): false | Safe(1): false
List(24, 21, 20, 19, 18, 17, 13, 8) | 0 | Descending | Safe(0): false | Safe(1): false
List(40, 39, 33, 31, 29, 26, 23) | 0 | Descending | Safe(0): false | Safe(1): false
List(26, 25, 23, 16, 15, 13, 11, 14) | 1 | Descending | Safe(0): false | Safe(1): false
List(35, 34, 28, 27, 27) | 0 | Descending | Safe(0): false | Safe(1): false
List(17, 16, 10, 7, 3) | 0 | Descending | Safe(0): false | Safe(1): false
List(43, 40, 35, 34, 31, 28, 25, 18) | 0 | Descending | Safe(0): false | Safe(1): false
List(30, 32, 31, 28, 26, 27) | 2 | Descending | Safe(0): false | Safe(1): false
List(55, 56, 54, 52, 51, 48, 48) | 1 | Descending | Safe(0): false | Safe(1): false
List(47, 48, 45, 44, 41, 38, 36, 32) | 1 | Descending | Safe(0): false | Safe(1): false
List(35, 36, 33, 30, 23) | 1 | Descending | Safe(0): false | Safe(1): false
List(47, 48, 46, 45, 44, 45, 44, 41) | 2 | Descending | Safe(0): false | Safe(1): false
List(20, 23, 22, 21, 18, 15, 16, 19) | 3 | Descending | Safe(0): false | Safe(1): false
List(64, 67, 70, 68, 66, 66) | 2 | Descending | Safe(0): false | Safe(1): false
List(47, 50, 53, 52, 51, 50, 48, 44) | 2 | Descending | Safe(0): false | Safe(1): false
List(32, 34, 35, 32, 29, 28, 23) | 2 | Descending | Safe(0): false | Safe(1): false
List(44, 47, 45, 45, 44) | 1 | Descending | Safe(0): false | Safe(1): false
List(24, 27, 27, 24, 25) | 2 | Descending | Safe(0): false | Safe(1): false
List(86, 88, 85, 85, 85) | 1 | Descending | Safe(0): false | Safe(1): false
List(12, 14, 14, 13, 12, 10, 7, 3) | 1 | Descending | Safe(0): false | Safe(1): false
List(72, 75, 72, 72, 71, 68, 63) | 1 | Descending | Safe(0): false | Safe(1): false
List(97, 99, 98, 96, 95, 94, 90, 88) | 1 | Descending | Safe(0): false | Safe(1): false
List(41, 42, 39, 38, 35, 33, 29, 32) | 2 | Descending | Safe(0): false | Safe(1): false
List(11, 14, 11, 10, 6, 5, 5) | 1 | Descending | Safe(0): false | Safe(1): false
List(76, 78, 75, 72, 69, 65, 61) | 1 | Descending | Safe(0): false | Safe(1): false
List(14, 15, 12, 8, 2) | 1 | Descending | Safe(0): false | Safe(1): false
List(54, 57, 54, 52, 47, 46) | 1 | Descending | Safe(0): false | Safe(1): false
List(51, 54, 52, 49, 46, 45, 40, 43) | 2 | Descending | Safe(0): false | Safe(1): false
List(15, 18, 15, 8, 8) | 1 | Descending | Safe(0): false | Safe(1): false
List(87, 90, 88, 86, 84, 77, 75, 71) | 1 | Descending | Safe(0): false | Safe(1): false
List(77, 80, 79, 73, 72, 71, 66) | 1 | Descending | Safe(0): false | Safe(1): false
List(81, 81, 78, 76, 79) | 1 | Descending | Safe(0): false | Safe(1): false
List(28, 28, 26, 23, 21, 18, 18) | 0 | Descending | Safe(0): false | Safe(1): false
List(35, 35, 33, 31, 28, 27, 25, 21) | 0 | Descending | Safe(0): false | Safe(1): false
List(97, 97, 94, 92, 89, 87, 86, 80) | 0 | Descending | Safe(0): false | Safe(1): false
List(3, 3, 5, 4, 2) | 1 | Descending | Safe(0): false | Safe(1): false
List(72, 72, 71, 74, 72, 75) | 2 | Descending | Safe(0): false | Safe(1): false
List(44, 44, 43, 40, 41, 39, 37, 37) | 1 | Descending | Safe(0): false | Safe(1): false
List(44, 44, 41, 38, 39, 38, 34) | 1 | Descending | Safe(0): false | Safe(1): false
List(90, 90, 89, 92, 90, 84) | 1 | Descending | Safe(0): false | Safe(1): false
List(42, 42, 42, 39, 37, 35, 34) | 0 | Descending | Safe(0): false | Safe(1): false
List(61, 61, 61, 59, 57, 56, 57) | 1 | Descending | Safe(0): false | Safe(1): false
List(96, 96, 95, 95, 93, 90, 87, 87) | 0 | Descending | Safe(0): false | Safe(1): false
List(91, 91, 90, 88, 86, 86, 84, 80) | 0 | Descending | Safe(0): false | Safe(1): false
List(88, 88, 88, 86, 85, 84, 82, 76) | 0 | Descending | Safe(0): false | Safe(1): false
List(99, 99, 95, 94, 92) | 0 | Descending | Safe(0): false | Safe(1): false
List(58, 58, 55, 54, 50, 53) | 1 | Descending | Safe(0): false | Safe(1): false
List(17, 17, 13, 11, 11) | 0 | Descending | Safe(0): false | Safe(1): false
List(51, 51, 48, 47, 43, 40, 38, 34) | 0 | Descending | Safe(0): false | Safe(1): false
List(92, 92, 88, 85, 82, 77) | 0 | Descending | Safe(0): false | Safe(1): false
List(94, 94, 87, 86, 85) | 0 | Descending | Safe(0): false | Safe(1): false
List(15, 15, 13, 11, 10, 4, 7) | 1 | Descending | Safe(0): false | Safe(1): false
List(70, 70, 65, 64, 63, 61, 61) | 0 | Descending | Safe(0): false | Safe(1): false
List(55, 55, 49, 46, 42) | 0 | Descending | Safe(0): false | Safe(1): false
List(84, 84, 83, 82, 76, 75, 74, 68) | 0 | Descending | Safe(0): false | Safe(1): false
List(14, 10, 9, 7, 4, 1, 4) | 1 | Descending | Safe(0): false | Safe(1): false
List(33, 29, 26, 23, 22, 21, 21) | 0 | Descending | Safe(0): false | Safe(1): false
List(58, 54, 51, 50, 46) | 0 | Descending | Safe(0): false | Safe(1): false
List(17, 13, 10, 8, 3) | 0 | Descending | Safe(0): false | Safe(1): false
List(73, 69, 66, 63, 61, 63, 60, 59) | 1 | Descending | Safe(0): false | Safe(1): false
List(35, 31, 29, 30, 31) | 2 | Descending | Safe(0): false | Safe(1): false
List(25, 21, 18, 19, 18, 16, 16) | 1 | Descending | Safe(0): false | Safe(1): false
List(72, 68, 71, 70, 69, 65) | 1 | Descending | Safe(0): false | Safe(1): false
List(78, 74, 76, 73, 72, 65) | 1 | Descending | Safe(0): false | Safe(1): false
List(86, 82, 80, 79, 76, 76, 75, 74) | 0 | Descending | Safe(0): false | Safe(1): false
List(19, 15, 14, 14, 12, 13) | 1 | Descending | Safe(0): false | Safe(1): false
List(86, 82, 80, 80, 78, 75, 75) | 0 | Descending | Safe(0): false | Safe(1): false
List(42, 38, 36, 36, 33, 29) | 0 | Descending | Safe(0): false | Safe(1): false
List(47, 43, 43, 41, 38, 35, 33, 26) | 0 | Descending | Safe(0): false | Safe(1): false
List(86, 82, 80, 76, 73, 71, 68) | 0 | Descending | Safe(0): false | Safe(1): false
List(62, 58, 56, 52, 51, 48, 47, 50) | 1 | Descending | Safe(0): false | Safe(1): false
List(62, 58, 56, 54, 50, 47, 47) | 0 | Descending | Safe(0): false | Safe(1): false
List(20, 16, 15, 14, 10, 9, 5) | 0 | Descending | Safe(0): false | Safe(1): false
List(49, 45, 41, 39, 37, 36, 33, 26) | 0 | Descending | Safe(0): false | Safe(1): false
List(51, 47, 46, 45, 39, 36, 34, 32) | 0 | Descending | Safe(0): false | Safe(1): false
List(90, 86, 85, 79, 80) | 1 | Descending | Safe(0): false | Safe(1): false
List(25, 21, 19, 17, 10, 8, 6, 6) | 0 | Descending | Safe(0): false | Safe(1): false
List(29, 25, 22, 15, 11) | 0 | Descending | Safe(0): false | Safe(1): false
List(62, 58, 57, 54, 49, 44) | 0 | Descending | Safe(0): false | Safe(1): false
List(47, 41, 39, 38, 37, 35, 37) | 1 | Descending | Safe(0): false | Safe(1): false
List(45, 38, 35, 32, 29, 27, 26, 26) | 0 | Descending | Safe(0): false | Safe(1): false
List(84, 77, 74, 71, 68, 64) | 0 | Descending | Safe(0): false | Safe(1): false
List(43, 38, 35, 32, 31, 26) | 0 | Descending | Safe(0): false | Safe(1): false
List(25, 19, 17, 16, 17, 16, 13, 10) | 1 | Descending | Safe(0): false | Safe(1): false
List(68, 61, 59, 58, 56, 58, 55, 58) | 2 | Descending | Safe(0): false | Safe(1): false
List(54, 47, 46, 43, 46, 44, 43, 43) | 1 | Descending | Safe(0): false | Safe(1): false
List(40, 33, 32, 29, 32, 29, 28, 24) | 1 | Descending | Safe(0): false | Safe(1): false
List(77, 70, 69, 72, 71, 69, 66, 61) | 1 | Descending | Safe(0): false | Safe(1): false
List(53, 47, 47, 45, 43, 41, 38) | 0 | Descending | Safe(0): false | Safe(1): false
List(80, 75, 72, 71, 71, 69, 72) | 1 | Descending | Safe(0): false | Safe(1): false
List(40, 33, 30, 27, 27, 24, 23, 23) | 0 | Descending | Safe(0): false | Safe(1): false
List(22, 16, 13, 13, 9) | 0 | Descending | Safe(0): false | Safe(1): false
List(26, 20, 20, 18, 15, 9) | 0 | Descending | Safe(0): false | Safe(1): false
List(55, 48, 45, 41, 38, 36) | 0 | Descending | Safe(0): false | Safe(1): false
List(23, 18, 17, 13, 10, 9, 8, 10) | 1 | Descending | Safe(0): false | Safe(1): false
List(25, 19, 15, 12, 12) | 0 | Descending | Safe(0): false | Safe(1): false
List(40, 33, 32, 31, 29, 27, 23, 19) | 0 | Descending | Safe(0): false | Safe(1): false
List(93, 88, 84, 81, 78, 73) | 0 | Descending | Safe(0): false | Safe(1): false
List(72, 65, 59, 58, 55, 54, 51, 49) | 0 | Descending | Safe(0): false | Safe(1): false
List(64, 58, 52, 49, 52) | 1 | Descending | Safe(0): false | Safe(1): false
List(49, 43, 40, 33, 32, 29, 29) | 0 | Descending | Safe(0): false | Safe(1): false
List(63, 57, 56, 54, 47, 43) | 0 | Descending | Safe(0): false | Safe(1): false
List(82, 77, 74, 68, 66, 60) | 0 | Descending | Safe(0): false | Safe(1): false
List(58, 55, 53, 46, 46) | 0 | Descending | Safe(0): false | Safe(1): false
List(75, 80, 82, 84, 83, 85, 85) | 4 | Ascending | Safe(0): false | Safe(1): false
List(23, 19, 21, 20, 17, 14, 14) | 1 | Descending | Safe(0): false | Safe(1): false
List(77, 81, 85, 86, 87, 88, 95) | 6 | Ascending | Safe(0): false | Safe(1): false
List(47, 41, 39, 37, 36, 37, 31) | 1 | Descending | Safe(0): false | Safe(1): false
List(84, 77, 70, 69, 72) | 1 | Descending | Safe(0): false | Safe(1): false
List(84, 84, 87, 88, 85, 88, 90) | 4 | Ascending | Safe(0): false | Safe(1): false
List(76, 74, 72, 70, 67, 70, 68) | 1 | Descending | Safe(0): false | Safe(1): false
List(85, 86, 84, 82, 76, 74, 71, 67) | 1 | Descending | Safe(0): false | Safe(1): false
List(87, 87, 84, 83, 82, 78, 74) | 0 | Descending | Safe(0): false | Safe(1): false
List(5, 4, 7, 10, 13, 18, 19) | 5 | Ascending | Safe(0): false | Safe(1): false
List(7, 5, 7, 4, 5) | 2 | Descending | Safe(0): false | Safe(1): false
List(77, 77, 75, 74, 70) | 0 | Descending | Safe(0): false | Safe(1): false
List(41, 41, 43, 46, 49, 50, 53, 53) | 5 | Ascending | Safe(0): false | Safe(1): false
List(46, 50, 52, 54, 54, 56, 60) | 5 | Ascending | Safe(0): false | Safe(1): false
List(64, 64, 65, 71, 74) | 3 | Ascending | Safe(0): false | Safe(1): false
List(52, 55, 52, 50, 48, 45, 42, 44) | 2 | Descending | Safe(0): false | Safe(1): false
List(39, 36, 37, 44, 46, 45) | 3 | Descending | Safe(0): false | Safe(1): false
List(59, 55, 54, 52, 48, 45, 41) | 0 | Descending | Safe(0): false | Safe(1): false
List(85, 82, 81, 82, 80, 77, 76, 72) | 1 | Descending | Safe(0): false | Safe(1): false
List(61, 56, 54, 51, 48, 45, 44, 40) | 0 | Descending | Safe(0): false | Safe(1): false
List(78, 77, 74, 72, 74, 76) | 2 | Descending | Safe(0): false | Safe(1): false
List(8, 13, 17, 18, 21) | 4 | Ascending | Safe(0): false | Safe(1): false
List(37, 37, 34, 32, 33) | 1 | Descending | Safe(0): false | Safe(1): false
List(46, 44, 45, 48, 49, 55, 55) | 4 | Ascending | Safe(0): false | Safe(1): false
List(74, 75, 79, 80, 82, 84, 86, 90) | 7 | Ascending | Safe(0): false | Safe(1): false
List(86, 82, 82, 80, 79, 76, 74) | 0 | Descending | Safe(0): false | Safe(1): false
List(61, 68, 70, 72, 74, 72) | 4 | Ascending | Safe(0): false | Safe(1): false
List(9, 9, 13, 15, 22) | 3 | Ascending | Safe(0): false | Safe(1): false
List(39, 38, 39, 39, 43) | 2 | Descending | Safe(0): false | Safe(1): false
List(2, 9, 7, 10, 14) | 3 | Ascending | Safe(0): false | Safe(1): false
List(33, 37, 44, 46, 48) | 4 | Ascending | Safe(0): false | Safe(1): false
List(39, 35, 31, 28, 28) | 0 | Descending | Safe(0): false | Safe(1): false
List(61, 61, 63, 64, 64, 65, 65) | 3 | Descending | Safe(0): false | Safe(1): false
List(69, 70, 68, 67, 68, 65, 62) | 2 | Descending | Safe(0): false | Safe(1): false
List(42, 41, 38, 37, 37, 35, 33, 29) | 0 | Descending | Safe(0): false | Safe(1): false
List(64, 66, 70, 73, 76, 79, 80) | 6 | Ascending | Safe(0): false | Safe(1): false
List(18, 22, 23, 25, 26, 29, 36) | 6 | Ascending | Safe(0): false | Safe(1): false
List(37, 36, 29, 28, 26, 25, 26) | 1 | Descending | Safe(0): false | Safe(1): false
List(52, 45, 43, 39, 38, 36, 38) | 1 | Descending | Safe(0): false | Safe(1): false
List(51, 56, 57, 63, 65, 67, 69, 75) | 7 | Ascending | Safe(0): false | Safe(1): false
List(16, 17, 14, 10, 8, 10) | 2 | Descending | Safe(0): false | Safe(1): false
List(20, 14, 14, 12, 9, 6) | 0 | Descending | Safe(0): false | Safe(1): false
List(25, 21, 19, 18, 18, 16, 14, 9) | 0 | Descending | Safe(0): false | Safe(1): false
List(40, 40, 37, 35, 34, 33, 31, 24) | 0 | Descending | Safe(0): false | Safe(1): false
List(40, 42, 47, 49, 52, 52) | 4 | Ascending | Safe(0): false | Safe(1): false
List(72, 73, 72, 68, 66) | 1 | Descending | Safe(0): false | Safe(1): false
List(76, 75, 74, 72, 70, 68, 64, 60) | 0 | Descending | Safe(0): false | Safe(1): false
List(49, 49, 50, 53, 55, 58, 61, 68) | 6 | Ascending | Safe(0): false | Safe(1): false
List(50, 56, 59, 62, 66, 68, 69, 69) | 6 | Ascending | Safe(0): false | Safe(1): false
List(85, 85, 83, 84, 87, 90, 94) | 4 | Ascending | Safe(0): false | Safe(1): false
List(21, 22, 18, 17, 11) | 1 | Descending | Safe(0): false | Safe(1): false
List(37, 40, 38, 41, 47) | 3 | Ascending | Safe(0): false | Safe(1): false
List(18, 19, 16, 13, 10, 10) | 1 | Descending | Safe(0): false | Safe(1): false
List(45, 46, 52, 53, 54, 55, 57, 61) | 7 | Ascending | Safe(0): false | Safe(1): false
List(2, 5, 5, 8, 11, 9) | 3 | Descending | Safe(0): false | Safe(1): false
List(42, 38, 37, 40, 41) | 2 | Descending | Safe(0): false | Safe(1): false
List(28, 25, 23, 25, 22, 17) | 1 | Descending | Safe(0): false | Safe(1): false
List(53, 54, 52, 50, 47, 50, 46) | 2 | Descending | Safe(0): false | Safe(1): false
List(18, 22, 25, 26, 27, 27) | 4 | Ascending | Safe(0): false | Safe(1): false
List(62, 61, 60, 63, 63) | 1 | Descending | Safe(0): false | Safe(1): false
List(30, 30, 31, 38, 41, 41) | 3 | Descending | Safe(0): false | Safe(1): false
List(32, 33, 31, 25, 24, 21, 20) | 1 | Descending | Safe(0): false | Safe(1): false
List(2, 4, 3, 4, 7, 7) | 3 | Descending | Safe(0): false | Safe(1): false
List(59, 62, 64, 67, 70, 74, 74) | 5 | Ascending | Safe(0): false | Safe(1): false
List(62, 62, 60, 57, 50, 49, 47, 48) | 1 | Descending | Safe(0): false | Safe(1): false
List(49, 46, 45, 40, 33) | 0 | Descending | Safe(0): false | Safe(1): false
List(44, 38, 36, 37, 37) | 1 | Descending | Safe(0): false | Safe(1): false
List(87, 81, 79, 79, 76, 76) | 0 | Descending | Safe(0): false | Safe(1): false
List(7, 14, 17, 19, 19) | 3 | Ascending | Safe(0): false | Safe(1): false
List(80, 82, 78, 77, 74, 72, 68) | 1 | Descending | Safe(0): false | Safe(1): false
List(5, 9, 11, 13, 19, 21, 21) | 5 | Ascending | Safe(0): false | Safe(1): false
List(38, 40, 42, 44, 50, 52, 57) | 6 | Ascending | Safe(0): false | Safe(1): false
List(74, 78, 79, 81, 83, 82, 84, 89) | 6 | Ascending | Safe(0): false | Safe(1): false
List(91, 94, 93, 88, 89) | 2 | Descending | Safe(0): false | Safe(1): false
List(24, 28, 31, 33, 36, 39, 44, 43) | 6 | Ascending | Safe(0): false | Safe(1): false
List(26, 24, 21, 16, 12) | 0 | Descending | Safe(0): false | Safe(1): false
List(86, 82, 81, 75, 73, 71, 69, 69) | 0 | Descending | Safe(0): false | Safe(1): false
List(25, 25, 26, 28, 25) | 2 | Descending | Safe(0): false | Safe(1): false
List(69, 68, 71, 73, 76, 79, 81, 85) | 6 | Ascending | Safe(0): false | Safe(1): false
List(18, 16, 19, 22, 22, 24, 31) | 4 | Ascending | Safe(0): false | Safe(1): false
List(55, 58, 54, 53, 50, 47, 44, 44) | 1 | Descending | Safe(0): false | Safe(1): false
List(37, 31, 30, 24, 23, 23) | 0 | Descending | Safe(0): false | Safe(1): false
List(16, 19, 17, 17, 13) | 1 | Descending | Safe(0): false | Safe(1): false
List(58, 56, 55, 54, 54, 51, 51) | 0 | Descending | Safe(0): false | Safe(1): false
List(73, 73, 76, 77, 76, 74) | 2 | Descending | Safe(0): false | Safe(1): false
List(21, 24, 21, 18, 13) | 1 | Descending | Safe(0): false | Safe(1): false
List(71, 76, 79, 81, 81, 83, 82) | 4 | Ascending | Safe(0): false | Safe(1): false
List(37, 39, 38, 38, 35, 34, 32, 26) | 1 | Descending | Safe(0): false | Safe(1): false
List(79, 79, 78, 76, 73, 66, 62) | 0 | Descending | Safe(0): false | Safe(1): false
List(46, 44, 45, 47, 48, 53, 54, 58) | 6 | Ascending | Safe(0): false | Safe(1): false
List(53, 55, 56, 62, 63, 62) | 4 | Ascending | Safe(0): false | Safe(1): false
List(20, 23, 20, 18, 18, 18) | 1 | Descending | Safe(0): false | Safe(1): false
List(69, 69, 67, 65, 68, 65, 61) | 1 | Descending | Safe(0): false | Safe(1): false
List(50, 50, 51, 51, 56) | 2 | Descending | Safe(0): false | Safe(1): false
List(82, 85, 85, 84, 83, 81, 82) | 2 | Descending | Safe(0): false | Safe(1): false
List(71, 67, 70, 69, 66, 65, 62, 55) | 1 | Descending | Safe(0): false | Safe(1): false
List(52, 45, 43, 40, 39, 36, 32, 31) | 0 | Descending | Safe(0): false | Safe(1): false
List(86, 89, 91, 93, 93, 96, 96) | 4 | Ascending | Safe(0): false | Safe(1): false
List(71, 70, 69, 66, 66, 65, 59) | 0 | Descending | Safe(0): false | Safe(1): false
List(13, 13, 10, 9, 8, 8, 4) | 0 | Descending | Safe(0): false | Safe(1): false
List(26, 30, 34, 37, 39) | 4 | Ascending | Safe(0): false | Safe(1): false
List(38, 41, 39, 36, 33, 30, 30, 29) | 1 | Descending | Safe(0): false | Safe(1): false
List(27, 26, 30, 33, 36, 37, 42) | 5 | Ascending | Safe(0): false | Safe(1): false
List(34, 36, 34, 32, 31, 29, 30, 33) | 3 | Descending | Safe(0): false | Safe(1): false
List(31, 31, 33, 34, 38, 39, 41, 44) | 6 | Ascending | Safe(0): false | Safe(1): false
List(98, 92, 92, 90, 87, 88) | 1 | Descending | Safe(0): false | Safe(1): false
List(34, 33, 31, 30, 28, 25, 21, 21) | 0 | Descending | Safe(0): false | Safe(1): false
List(77, 71, 73, 71, 69, 65) | 1 | Descending | Safe(0): false | Safe(1): false
List(61, 61, 61, 64, 67, 69, 72) | 4 | Ascending | Safe(0): false | Safe(1): false
List(29, 22, 18, 17, 16, 9) | 0 | Descending | Safe(0): false | Safe(1): false
List(27, 20, 19, 17, 20) | 1 | Descending | Safe(0): false | Safe(1): false
List(51, 47, 44, 43, 40, 36) | 0 | Descending | Safe(0): false | Safe(1): false
List(46, 52, 55, 57, 61, 62, 63, 61) | 6 | Ascending | Safe(0): false | Safe(1): false
List(84, 80, 75, 73, 71, 69, 67, 63) | 0 | Descending | Safe(0): false | Safe(1): false
List(63, 63, 66, 63, 63) | 1 | Descending | Safe(0): false | Safe(1): false
List(55, 62, 67, 69, 71, 73, 76, 77) | 7 | Ascending | Safe(0): false | Safe(1): false
List(82, 81, 84, 86, 88, 91, 90) | 4 | Ascending | Safe(0): false | Safe(1): false
List(73, 77, 80, 83, 84, 85, 83, 87) | 6 | Ascending | Safe(0): false | Safe(1): false
List(47, 50, 47, 40, 37, 35, 32, 25) | 1 | Descending | Safe(0): false | Safe(1): false
List(73, 73, 67, 66, 66) | 0 | Descending | Safe(0): false | Safe(1): false
List(90, 90, 93, 92, 90, 91) | 2 | Descending | Safe(0): false | Safe(1): false
List(53, 48, 45, 42, 39, 36, 37, 39) | 2 | Descending | Safe(0): false | Safe(1): false
